Text,Class
Banco de preguntas y cuestionario(s) del curso,1
"Dentro de un curso existen dos instrumentos combinados para la realización de cuestionarios: 1) el ""Banco de preguntas"", que permite la creación y organización de los distintos tipos de preguntas y 2), el módulo de actividad ""Cuestionario"", que permite crear distintos cuestionarios dentro del curso, alimentándose de las preguntas del ""Banco del preguntas"". ",1
"Esta relación entre el ""Banco de preguntas"" y los cuestionarios de un curso puede ser confusa, porque el formulario de edición de cada cuestionario permite también crear preguntas (3), quedando en segundo plano el hecho de que estas preguntas se están también guardando en el ""Banco de preguntas"". Por esta razón, se recomienda crearlas desde el ""Banco de preguntas"",. porque es más fácil mantener una buena organización,. ",1
En el siguiente listado se exponen las fases de un ciclo completo de creación y gestión de cuestionarios en eGela y su relación con los apartados de este manual:,1
En una primera fase abordamos la creación de las categorías y subcategorías del banco de preguntas para una correcta organización de las baterías de preguntas (Apartado 2.1). ,1
"La siguiente fase corresponde a la creación de las preguntas, eligiendo entre los distintos tipos de preguntas y las correspondientes opciones de configuración. También hay opciones de configuración que son comunes a todos o casi todos los tipos de preguntas, como el orden de las respuestas, la retroalimentación general, las pistas o las penalizaciones por intentos (Apartado 3). ",1
"A continuación. comenzamos a trabajar con la herramientas de elaboración del cuestionario (Ver esquema en el apartado 4), En primer lugar, debemos establecer una configuración conforme al tipo de aplicación del cuestionario. El formulario ""Editar ajustes"" del cuestionario ofrece un amplio repertorio de opciones y permite ajustarse a opciones tan diversas como un ejercicio de repaso para la auto-evaluación sin ningún peso en la calificación o una prueba evaluativa con un peso decisivo en la nota final de una asignatura (Apartado 5). Si es necesario, podremos establecer excepciones para usuarios o grupos (ver Apartado 6)",1
En la cuarta fase insertamos las preguntas y establecemos la paginación. Es también en esta fase cuando se puede barajar el orden de las preguntas o insertar preguntas aleatorias. Al finalizar esta fase podremos realizar una previsualización del cuestionario para comprobar que su desarrollo es el esperado. (Apartado 7),1
"El cuestionario está listo para ser realizado por el alumnado. Posteriormente podremos analizar los resultados. También existen opciones en algunos casos para realizar una ""recalificación"", después de corregir errores en el diseño de un cuestionario, como por ejemplo modificar la puntuación de las respuestas de una pregunta. (Apartado en fase de elaboración). ",1
"La fase final corresponde con la reutilización de las preguntas y los cuestionarios, dentro de la misma aula, entre dos aulas del mismo curso académico o entre dos cursos académicos (Apartado en fase de elaboración).  ",1
"Organizar las preguntas en el ""Banco de Preguntas""",2
"El Banco de preguntas es una herramienta que nos va a permitir organizar y gestionar la incorporación de preguntas en los cuestionarios de nuestro curso. Desde el banco de preguntas vamos a poder crear o editar preguntas, organizarlas en categorías e importarlas y exportarlas.",2
"Para acceder al ""Banco de preguntas"", abrimos el panel ""Gestión de curso"". Pulsamos sobre ""Banco de preguntas"" (1.1) dentro del bloque ""Banco de preguntas"" (1)",2
"Al pulsar sobre ""Banco de preguntas"" en el panel ""Gestión de curso"" se accede a la pestaña ""Preguntas"" (1). ",2
El menú desplegable (2) permite seleccionar la categoría cuyo contenido se va a desplegar.,2
"A continuación se encuentra una serie de filtros para las búsquedas (3). Aunque existe un filtro para etiquetas (3.1), todavía no está activada la opción para etiquetar las preguntas. Sí pueden utilizarse el resto de los filtros disponibles (3.2). ",2
Crear una nueva pregunta (4) dentro de esta categoría.,2
En la parte inferior aparece el listado de preguntas contenidas en la categoría (5). El icono destacado en rojo (5.1) identifica el tipo de pregunta. El formulario situado en la parte inferior (5.2) permite mover preguntas de una categoría a otra.,2
Crear una categoría,2
"Una categoría es un conjunto de preguntas, que a su vez puede contener subcategorías. Es un instrumento para organizar o clasificar las múltiples preguntas que están incluidas o van a ser incluidas en un curso. ",2
"Para añadir una categoría pulsamos sobre la pestaña ""Categoría"" (1) y rellenamos el formulario: ",2
"Elegimos la ""Categoría padre"" en el menú desplegable (2). El número 2 destacado en rojo en la imagen (2.1) indica que esta categoría contiene 2 preguntas. ",2
"En campo de texto ""Nombre"" (3), incluimos el nombre de la categoría. ",2
Guardamos cambios (4),2
"En la imagen siguiente vemos la vista de la pestaña ""Preguntas"". Cuando se han creado varias categorías, podemos usar las flechas destacadas en rojo para cambiar el orden o subir y bajar de nivel de jerarquía. Si borramos una categoría con preguntas nos pregunta si queremos trasladar la preguntas a la categoría superior.",2
"Tenemos que destacar que en Moodle, cada cuestionario dispone de una categoría propia de preguntas que no se visualiza en la ventana de categorías del curso. Es por ello que aconsejamos crear la categoría que queramos utilizar y añadir las preguntas a esa categoría o a una ya existente para evitar el problema de no encontrar nuestras preguntas al no estar asociadas a una categoría sino a un cuestionario. Esto ocurre porque, en ocasiones, en el proceso de migración de contenidos de un curso académico al siguiente, estas preguntas asociadas a un cuestionario no aparecen en el banco de preguntas ni se traspasan con dicho cuestionario. Para poder recuperarlas, deberemos entrar en el curso origen y proceder a exportar estas preguntas e importarlas en el curso destino como se explica más adelante.",2
Aplicaciones de las categorías y sub-categorías,2
"La utilización de las categorías y sub-categorías para organizar el curso tiene algunas ventajas importantes. En primer lugar, como ya se explicado, nos permite agrupar las preguntas que se van a asignar posteriormente a los cuestionarios. Destacamos además otros dos aspectos:",2
"Si queremos utilizar preguntas aleatorias (Ver apartado 7.2), tendremos que escoger un número determinado de preguntas dentro de una categoría o sub-categoría, de modo que tener una buena organización de las preguntas es lo que nos permite discriminar estas preguntas de forma adecuada. ",2
"Del mismo modo, si queremos exportar un conjunto de preguntas, este proceso será mucho más sencillo si están bien organizadas ",2
Crear preguntas,3
"Para crear preguntas pulsamos sobre ""Crear una pregunta nueva"" en la pestaña ""Preguntas"" del ""Banco de preguntas"". Ver imagen en el apartado 2 (""Organizar las preguntas en el ""Banco de Preguntas""). ",3
"En la parte izquierda de la siguiente imagen se muestra el cuadro de diálogo para elegir un tipo de pregunta, que presenta 1) el listado de preguntas, 2) el área donde se muestran las descripciones de los tipos seleccionados y 3) el botón ""Agregar"". ",3
"Además, en la parte derecha, se muestran los distintos tipos de preguntas, agrupados por ""familias"":",3
"Las más frecuentes: ""Verdadero/Falso"", ""Opción múltiple"", ""Respuesta corta"" y ""Numérica""",3
"La ""familia"" de las ""Calculadas"". En estas preguntas los valores numéricos del enunciado varían de forma aleatoria, de forma que cada estudiante tiene que buscar su propia solución al problema. ",3
"Preguntas con una presentación más visual, (""Emparejamiento"", ""Arrastrar y soltar"", Cloze...)",3
"Las preguntas de tipo ""Ensayo"", que permiten realizar preguntas abiertas dentro de un cuestionario. ",3
"Las preguntas de tipo ""Descripción"" que permiten insertar un fragmento de contenido entre las preguntas del cuestionario.",3
"Cada uno de los tipos de preguntas tiene características y funciones específicas, que se van a tratar en los apartados posteriores. Sin embargo, antes de comenzar con su descripción sistemática, en el siguiente apartados vamos a tratar algunas características comunes a todos o casi todos los tipos de preguntas.",3
