Text,Class
 creacion sal virtual conect egel  egelpi ,1
 cas no cont aul virtual pued solicit plataform correspond ,1
 egel profesor carg docent asign gaur asignatur grad master oficial titul propi aul doctor pued solicit aul virtual correspondient plataform egel dich solicitud realiz traves gestor aul virtual gestor permit profesor dar alta aul virtual egel oper relacion gestion mism fusion grup consult almacen copi segur curs pas ubic egel aul virtual transversal puedn defin nivel curs grad mast titul propi ,1
 egelpi pued solicit aul virtual egel pi cualqui miembr upvehu pdi pas justifiqu neces cuent respald organ unid administr proced siempr qued categor curs especific egel punt anterior proced solicitud curs egelpi realiz are personal  solicitud curs inform enlac ,1
 configur sal egel  egel pi ,1
 cre sal blackboard collaborat ultra aul virtual egel  egelpi  activ edicion  hag clic añad activ recurs seccion correspondient  seleccion activ collaborat  ,1
 general ,1
 siguient formulari configur opcion apart general  ,1
 dos primer camp correspond  ,1
 nombr sesion muestr pagin principal curs titul pagin activ ,1
 descripcion muestr pagin activ opcional pagin principal curs ver casill   ,1
 fech hor inici sal dispon  minut hor indic  ,1
 duracion sesion si elig opcion duracion curs sal siempr dispon part fech inici escog  ,1
 configur ,1
 imag continu muestr rest formulari configur ,1
 aunqu calif pued activ deb realiz propi libr calif enlac manual ,1
 dentr apart ajust comun modul pued activ mod grup separ visibl ambas configur mism efect cad estudi acced sal correspondient grup recomiend sin embarg utiliz opcion grup trabaj propi blackboard collaborat ultra  ,1
 not si configur grup hech nivel curs podr cambi nivel activ salv forz ver inform manual cas si quier hac reunion alumn aul virtual pued recurr reunion no vincul egel egel pi ver apart  creacion sal virtual no vincul egel egelpi ,1
 sal reunion pued ten restriccion acces cualqui activ ,1
 si activ opcion rastre finaliz panel gestion curs  configur curs  edit configur curs podran marc event recib calif unirs sesion complet condicion finaliz   ,1
 acces sal egel  egel pi ,1
 vez termin configur cre pagin entrad sesion puls boton unirs sesion entrar sal si no aparec boton revis valor introduc camp inici duracion configur  ,1
 creacion sal virtual no vincul egel egelpi ,2
 servici dispon direccion  ,2
 despues introduc credencial ldap present pagin list sal boton cre sesion  deb introducse nombr sesion fech ajust sesion  ,2
 ajust sesion recomend sal asistent numer  particip dar voz particip concret podr otorg puntual rol ver apart  asistent ,2
