Text,Class
Videoconferencias con Collaborate Ultra ,videoconferencia
BBC,videoconferencia
Creación de una sala virtual conectada a eGela / eGelaPI,videoconferencia
Configuración de la sala en eGela / eGela PI,videoconferencia
General,videoconferencia
Otras configuraciones,videoconferencia
Acceso a la sala desde eGela / eGela PI,videoconferencia
Creación de una sala virtual NO vinculada a eGela /eGelaPI,videoconferencia
Entrada en la sala virtual de Blackboard Collaborate Ultra,videoconferencia
Compatibilidad de navegadores y sistemas operativos,videoconferencia
Ajustes de periféricos,videoconferencia
Comprobar la salida de audio local (antes de entrar),videoconferencia
Compartir el micrófono (entrada de audio),videoconferencia
Compartir la cámara,videoconferencia
Ajustes de audio y vídeo,videoconferencia
Tutoriales (tour usuario),videoconferencia
Roles en la sala virtual,videoconferencia
Presentar contenidos y gestionar la sala,videoconferencia
Iniciar / detener grabaciones y Cerrar sesión (Opciones en el panel izquierdo para el Rol moderador/a),videoconferencia
"Gestión de contenidos, asistentes y permisos en la sala y ajustes personales (Opciones del panel derecho para el Rol moderador/",videoconferencia
Mis ajustes (Ajustes personales y ajustes de la sala),videoconferencia
Ajustes de audio y vídeo,videoconferencia
Ajustes de notificaciones,videoconferencia
Ajustes de la sesión,videoconferencia
"Compartir contenidos (Compartir pantalla, Presentar archivos y Pizarra interactiva)",videoconferencia
Compartir pizarra en blanco,videoconferencia
Compartir aplicación / pantalla,videoconferencia
Compartir archivos,videoconferencia
Asistentes (Listado de asistentes y convertir en presentador),videoconferencia
Chat,videoconferencia
"Dinamizar las interacciones en el sala (Estados, Control de audio y vídeo y Turnos de palabra",videoconferencia
Mi estado y ajustes,videoconferencia
Control de audio y vídeo,videoconferencia
Levantar la mano,videoconferencia
Grabaciones,videoconferencia
Protocolo de mantenimiento y eliminación de las grabaciones,videoconferencia
Repositorio de vídeos EHUtb,videoconferencia
Almacenamiento en la nube EHUbox,videoconferencia
Creación de una sala virtual conectada a eGela / eGelaPI,videoconferencia
"En el caso de no contar con un aula virtual, puede solicitarla en la plataforma que corresponda:",videoconferencia
"eGela: El profesorado con carga docente asignada en GAUR en las asignaturas de grado, másteres oficiales, títulos propios y aulas de doctorado puede solicitar el aula virtual correspondiente en la plataforma eGela. Dicha solicitud se realizará a través del Gestor de Aulas Virtuales. Este gestor permite al profesorado dar de alta sus aulas virtuales eGela y otras operaciones relacionadas con la gestión de las mismas, como fusionar grupos, consultar su almacén de copias de seguridad de cursos pasados... También se ubican en eGela las Aulas Virtuales Transversales, que pueden definirse a nivel de curso, grado, máster y título propio.",videoconferencia
"eGelaPI: Puede solicitar un aula virtual en eGela PI cualquier miembro de la UPV/EHU, PDI o PAS, que justifique esta necesidad y cuente con el respaldo del órgano o unidad administrativa que proceda, siempre que quede fuera de las categorías de cursos especificadas para eGela en el punto anterior. El procedimiento para la solicitud de cursos en eGelaPI se realiza en Área personal > Mis solicitudes de cursos. Más información en este enlace.",videoconferencia
Configuración de la sala en eGela / eGela PI,videoconferencia
"Para crear una sala de Blackboard Collaborate Ultra en un aula virtual de eGela / eGelaPi, 1) active la edición, 2) haga clic sobre “Añade una actividad o un recurso” en la sección correspondiente y 3) seleccione la actividad “Collaborate”. ",videoconferencia
General,videoconferencia
En el siguiente formulario se configuran las opciones del apartado General. ,videoconferencia
Los dos primeros campos se corresponden con: ,videoconferencia
"El “Nombre de sesión”, que se muestra en la página principal del curso y, como título, en la página de la actividad.",videoconferencia
"La “Descripción”, que se muestra en la página de la actividad y, opcionalmente, en la página principal del curso (ver casilla 2.1). ",videoconferencia
La fecha y hora de “Inicio”. La sala estará disponible 15 minutos antes de la hora indicada. ,videoconferencia
"La “Duración” de la sesión. Si se elige la opción “Duración del curso”, la sala estará siempre disponible a partir de la fecha de inicio escogida. ",videoconferencia
Otras configuraciones,videoconferencia
En la imagen a continuación se muestran el resto del formulario de configuración.,videoconferencia
"Aunque la calificación pueda activarse, esta debería realizarse en el propio “Libro de calificaciones” Enlace al manual.",videoconferencia
"Dentro del apartado “Ajustes comunes del módulo”, puede activarse el modo de grupos “Separados” o “Visibles. Ambas configuraciones tendrán el mismo efecto, cada estudiante accederá a una sala correspondiente a su grupo. Se recomienda, sin embargo, utilizar las opciones de “Grupos de trabajo” propias de Blackboard Collaborate Ultra. ",videoconferencia
"NOTA: Si la configuración de grupos se ha hecho a nivel de curso, de podrá cambiar a nivel de actividad, salvo que se haya forzado (Ver más información en el manual). En ese caso, si se quiere hacer una reunión con todo el alumnado del aula virtual, se puede recurrir a una reunión NO vinculada a eGela /eGela PI (Ver apartado 2: Creación de una sala virtual NO vinculada a eGela /eGelaPI)",videoconferencia
"Las salas de reuniones pueden tener restricciones de acceso, como cualquier otra actividad.",videoconferencia
"Si se han activado las opciones de “Rastreo de finalización” en el panel de Gestión del curso > Configuración del curso > Editar la configuración del curso, podrán marcarse los eventos “recibir una calificación” o “unirse a la sesión” para completar la condición de finalización.  ",videoconferencia
Acceso a la sala desde eGela / eGela PI,videoconferencia
"Una vez terminada la configuración, se crea la página de la entrada en la sesión. Pulsar el botón “Unirse a la sesión” para entrar en la sala. Si no aparece este botón, revise los valores introducidos en los campos “Inicio” y Duración” de la configuración. ",videoconferencia
Creación de una sala virtual NO vinculada a eGela /eGelaPI,videoconferencia
Este servicio está disponible en la dirección https://ehu.eus/bilerak.,videoconferencia
"Después de introducir las credenciales LDAP, se presenta una página con el listado de salas y el botón “Crear sesión” (1). Deben introducirse el nombre de sesión, la fecha y los ajustes de sesión. ",videoconferencia
Estos son los ajustes de sesión recomendados para una sala con asistencia numerosa (más de 10 participantes). Para dar voz a participantes concretos se les podrá otorgar puntualmente otro rol. (Ver apartado 5.2.3 Asistentes),videoconferencia
"La imagen siguiente muestra el modo de acceso a una sala virtual ya creada. Cuando se crea una sala virtual no vinculada a eGela / eGelaPI, todo/as lo/as asistentes salvo el/la creador/a del aula entrarán como invitados. Primero debemos elegir el rol asociado a la entrada como invitado “Participante” o “Presentador” (2). A continuación, se copia el enlace (3), que se puede enviar a quien proceda a través de un mensaje de correo electrónico, por ejemplo. Se recomienda usar el rol “Participante” siempre que se ajuste a la dinámica de la sesión. (Ver apartado 4: ""Roles en la sala virtual"").",videoconferencia
"Con este enlace los participantes accederán directamente a la sala, después de escribir el nombre con el que quieren aparecer. No es necesario contar con credenciales LDAP para acceder a la sala",videoconferencia
"Sin embargo, como se muestra en la imagen siguiente, el/la creador(a) de la sala debe acceder para tener el rol de “Moderador”, pulsando sobre los tres puntos (1) y a continuación sobre “Unirse a la reunión” (2) ",videoconferencia
"Además, el/la creador(a) de la sala puede ofrecer un número de ingreso telefónico a participantes que no dispongan de una conexión de Internet. Este enlace permite escuchar y hablar, pero no ver los contenidos mostrados en la pantalla. ",videoconferencia
Entrada en la sala virtual de Blackboard Collaborate Ultra,videoconferencia
Compatibilidad de navegadores y sistemas operativos,videoconferencia
En esta dirección se puede encontrar información actualizada sobre navegadores y sistemas operativos. ,videoconferencia
https://help.blackboard.com/es-es/Collaborate/Ultra/Moderator/Get_Started/Browser_Support,videoconferencia
"En la siguiente tabla, descargada el 11/03/2020, las combinaciones de sistemas operativos y navegadores compatibles, destacando la importancia de utilizar versiones actualizadas de los navegadores.",videoconferencia
Ajustes de periféricos,videoconferencia
Comprobar la salida de audio local (antes de entrar),videoconferencia
"Antes de entrar en la sala, conviene comprobar la salida de audio que está seleccionada en el equipo. En la siguiente imagen se muestran las opciones de configuración en un equipo con Windows 7 como sistema operativo. ",videoconferencia
En la siguiente imagen se muestra el cuadro de diálogo para la selección de dispositivos de reproducción. ,videoconferencia
