Text,Class
 videoconferent collaborat ultra  ,videoconferencia
 bbc ,videoconferencia
 creacion sal virtual conect egel  egelpi ,videoconferencia
 configur sal egel  egel pi ,videoconferencia
 general ,videoconferencia
 configur ,videoconferencia
 acces sal egel  egel pi ,videoconferencia
 creacion sal virtual no vincul egel egelpi ,videoconferencia
 entrad sal virtual blackboard collaborat ultra ,videoconferencia
 compatibil naveg sistem oper ,videoconferencia
 ajust perifer ,videoconferencia
 comprob sal audi local entrar ,videoconferencia
 compart microfon entrad audi ,videoconferencia
 compart cam ,videoconferencia
 ajust audi vide ,videoconferencia
 tutorial tour usuari ,videoconferencia
 rol sal virtual ,videoconferencia
 present conten gestion sal ,videoconferencia
 inici  deten grabacion cerr sesion opcion panel izquierd rol moder ,videoconferencia
 gestion conten asistent permis sal ajust personal opcion panel derech rol moder ,videoconferencia
 ajust ajust personal ajust sal ,videoconferencia
 ajust audi vide ,videoconferencia
 ajust notif ,videoconferencia
 ajust sesion ,videoconferencia
 compart conten compart pantall present archiv pizarr interact ,videoconferencia
 compart pizarr blanc ,videoconferencia
 compart aplic  pantall ,videoconferencia
 compart archiv ,videoconferencia
 asistent list asistent convert present ,videoconferencia
 chat ,videoconferencia
 dinamiz interaccion sal control audi vide turn palabr ,videoconferencia
 ajust ,videoconferencia
 control audi vide ,videoconferencia
 levant man ,videoconferencia
 grabacion ,videoconferencia
 protocol manten elimin grabacion ,videoconferencia
 repositori vide ehutb ,videoconferencia
 almacen nub ehubox ,videoconferencia
 creacion sal virtual conect egel  egelpi ,videoconferencia
 cas no cont aul virtual pued solicit plataform correspond ,videoconferencia
 egel profesor carg docent asign gaur asignatur grad master oficial titul propi aul doctor pued solicit aul virtual correspondient plataform egel dich solicitud realiz traves gestor aul virtual gestor permit profesor dar alta aul virtual egel oper relacion gestion mism fusion grup consult almacen copi segur curs pas ubic egel aul virtual transversal puedn defin nivel curs grad mast titul propi ,videoconferencia
 egelpi pued solicit aul virtual egel pi cualqui miembr upvehu pdi pas justifiqu neces cuent respald organ unid administr proced siempr qued categor curs especific egel punt anterior proced solicitud curs egelpi realiz are personal  solicitud curs inform enlac ,videoconferencia
 configur sal egel  egel pi ,videoconferencia
 cre sal blackboard collaborat ultra aul virtual egel  egelpi  activ edicion  hag clic añad activ recurs seccion correspondient  seleccion activ collaborat  ,videoconferencia
 general ,videoconferencia
 siguient formulari configur opcion apart general  ,videoconferencia
 dos primer camp correspond  ,videoconferencia
 nombr sesion muestr pagin principal curs titul pagin activ ,videoconferencia
 descripcion muestr pagin activ opcional pagin principal curs ver casill   ,videoconferencia
 fech hor inici sal dispon  minut hor indic  ,videoconferencia
 duracion sesion si elig opcion duracion curs sal siempr dispon part fech inici escog  ,videoconferencia
 configur ,videoconferencia
 imag continu muestr rest formulari configur ,videoconferencia
 aunqu calif pued activ deb realiz propi libr calif enlac manual ,videoconferencia
 dentr apart ajust comun modul pued activ mod grup separ visibl ambas configur mism efect cad estudi acced sal correspondient grup recomiend sin embarg utiliz opcion grup trabaj propi blackboard collaborat ultra  ,videoconferencia
 not si configur grup hech nivel curs podr cambi nivel activ salv forz ver inform manual cas si quier hac reunion alumn aul virtual pued recurr reunion no vincul egel egel pi ver apart  creacion sal virtual no vincul egel egelpi ,videoconferencia
 sal reunion pued ten restriccion acces cualqui activ ,videoconferencia
 si activ opcion rastre finaliz panel gestion curs  configur curs  edit configur curs podran marc event recib calif unirs sesion complet condicion finaliz   ,videoconferencia
 acces sal egel  egel pi ,videoconferencia
 vez termin configur cre pagin entrad sesion puls boton unirs sesion entrar sal si no aparec boton revis valor introduc camp inici duracion configur  ,videoconferencia
 creacion sal virtual no vincul egel egelpi ,videoconferencia
 servici dispon direccion  ,videoconferencia
 despues introduc credencial ldap present pagin list sal boton cre sesion  deb introducse nombr sesion fech ajust sesion  ,videoconferencia
 ajust sesion recomend sal asistent numer  particip dar voz particip concret podr otorg puntual rol ver apart  asistent ,videoconferencia
 imag siguient muestr mod acces sal virtual cre cre sal virtual no vincul egel  egelpi tod loas asistent salv credora aul entraran invit primer deb eleg rol asoci entrad invit particip present  continu copi enlac  pued envi proced traves mensaj corre electron ejempl recomiend usar rol particip siempr ajust dinam sesion ver apart  rol sal virtual ,videoconferencia
 enlac particip acced direct sal despues escrib nombr quier aparec no necesari cont credencial ldap acced sal ,videoconferencia
 sin embarg muestr imag siguient creador sal deb acced ten rol moder puls tres punt  continu unirs reunion   ,videoconferencia
 ademas creador sal pued ofrec numer ingres telefon particip no dispong conexion internet enlac permit escuch habl no ver conten mostr pantall  ,videoconferencia
 entrad sal virtual blackboard collaborat ultra ,videoconferencia
 compatibil naveg sistem oper ,videoconferencia
 direccion pued encontr inform actualiz naveg sistem oper  ,videoconferencia
  ,videoconferencia
 siguient tabl descarg  combin sistem oper naveg compat destac import utiliz version actualiz naveg ,videoconferencia
 ajust perifer ,videoconferencia
 comprob sal audi local entrar ,videoconferencia
 entrar sal convien comprob sal audi seleccion equip siguient imag muestr opcion configur equip windows  sistem oper  ,videoconferencia
 siguient imag muestr cuadr dialog seleccion disposit reproduccion  ,videoconferencia
 cuadr dialog aparec disposit reproduccion audi dispon equip tick verd indic disposit predetermin marc predetermin disposit clic boton derech disposit des marc opcion correspondient ,videoconferencia
 compart microfon entrad audi ,videoconferencia
 inici sesion aparec cuadr dialog indic disposit predetermin entrad audi  muestr nivel son entra via  ademas menu despleg  permit seleccion rest disposits dispon equip  ,videoconferencia
 si audi satisfactori puls funcion  cas contrari puls no necesit ayud acced web soport blackboard collaborat  ,videoconferencia
 posibl naveg no herramient hag eleccion captur tom firefox  ,videoconferencia
 mejor calid audi sesion evit retorn recomiend utiliz casc microfon integr import manten minim necesari microfons activ sesion  ,videoconferencia
 compart cam ,videoconferencia
 despues seleccion disposit entrad audi cuadr dialog naveg pid permis usar disposit cam  ,videoconferencia
 captur chrom ,videoconferencia
 captur firefox ,videoconferencia
 continu herramient pid confirm cam list uso puls funcion  imag cam no compart activ usand boton icon cam control part inferior pagin    ,videoconferencia
 ajust audi vide ,videoconferencia
 imag siguient muestr opcion apart ajust audi vide pestañ ajust panel despleg derech ver apart  funcional sal virtual localiz ubic panel derech   ,videoconferencia
 si disposit no funcion correct pued reinici proces asign permis seleccion apart configur cam microfon  dich apart ,videoconferencia
 ademas cad particip reunion pued usar numer sal pin personal  recib emit audi cad pin correspond usuari anul entrad sal convencional audi llam cost correspondient llam interprovincial  ,videoconferencia
 part pued revoc permis otorg naveg puls element indic  ,videoconferencia
 tutorial tour usuari ,videoconferencia
 realiz primer entrad sal virtual equip aparec opcion inici tutorial  salt opcion puls tard  ,videoconferencia
 rol sal virtual ,videoconferencia
 exist tres rol diferenci dentr sal virtual ,videoconferencia
 rol moder pued gestion usuari sal rol present conten inici grabacion rol  profesor acced sal virtual aul virtual egel  egel pi  cre sal virtual pagin  ver apart  creacion sal virtual no vincul egel  egelpi ,videoconferencia
 rol present pued compart pizarr pantall archiv no pued usar rest opcion pestañ compart conten sonde temporiz grup trabaj tampoc pued gestion usuari grabacion ,videoconferencia
 permis rol particip defin ajust sesion rol alumn acced sal virtual aul virtual egel  egel ,videoconferencia
 sal cre pagin  loas usuari entran invit permis determin configur ver apart  creacion sal virtual no vincul egel  egelpi ,videoconferencia
 present conten gestion sal ,videoconferencia
 imag siguient muestr captur pantall complet panel izquierd despleg  ,videoconferencia
 destac siguient element ,videoconferencia
 panel despleg izquierd pued despleg icon part superior izquierd  panel opcion inici grabacion  cerr sesion   ,videoconferencia
 panel despleg derech pued despleg icon part inferior derech  part inferior icons acced distint pestañ chat asistent compart conten ajust  ,videoconferencia
 control part inferior central ajust compart audi compart vide levant man  ,videoconferencia
 inici  deten grabacion cerr sesion opcion panel izquierd rol moder ,videoconferencia
 apart destac funcional grabacion inici muestr imag  ver adel apart especif gestion grabacion ademas part inferior encuentr opcion cerr sesion   ,videoconferencia
 gestion conten asistent permis sal ajust personal opcion panel derech rol moder ,videoconferencia
 ajust ajust personal ajust sal ,videoconferencia
 ajust audi vide ,videoconferencia
 opcion apart trat apart  ajust perifer consult apart  manual ,videoconferencia
 ajust notif ,videoconferencia
 ajust permit gestion notif algui uni abandon grup sesion trabaj algui public mensaj chat algui levant man ajust personal  comienz sesion convien explic loas particip pued escog configur convien   ,videoconferencia
 ajust sesion ,videoconferencia
 apart especific permis rol particip cre sal egel  egelpi permis aparec marc defect recomiend cambi configur preven retorn asegur buen calid transmision  ,videoconferencia
 compart conten compart pantall present archiv pizarr interact ,videoconferencia
 compart pizarr blanc ,videoconferencia
 pizarr permit realiz traz hac form escrib text  ,videoconferencia
 compart aplic  pantall ,videoconferencia
 puls compart aplic  pantall  aparec ventan emergent pued pued seleccion tod pantall  ventan aplic  pestañ chrom   despues seleccion opcion  boton compart qued activ   ,videoconferencia
  captur tom naveg chrom  ,videoconferencia
  opcion sol dispon usa naveg chrom  ,videoconferencia
 cas compart tod pantall mism ventan realiz reunion opcion ventan aplic form bucl conten mism muestr continu  ,videoconferencia
 si ocurr suficient cambi pestañ cierr bucl evit ocurr pued segu siguient proced  ,videoconferencia
 utiliz dos ventan naveg pagin reunion virtual conten quer mostr ,videoconferencia
 hor compart conten escog opcion ventan aplic seleccion ventan no reunion virtual  ,videoconferencia
 ademas si escog opcion tod pantall pestañ chrom  utiliz naveg chrom posibl transmit audi reproduc mism imag siguient seleccion portal youtub upvehu  marc opcion compart audi  ,videoconferencia
 dej compart conten puls icon stop part superior derech   ,videoconferencia
 compart archiv ,videoconferencia
 compart archiv pinch agreg archivs  arrastr archiv rectangul gris  ,videoconferencia
 indic imag sol pued compart archiv imag present powerpoint pdf  ,videoconferencia
 imagen deb convert ser mostr proces  pued tard dos minut archiv tamañ grand recomend sub archiv comenz sesion alumn  ,videoconferencia
 vez archiv convert pued puls compart ahor   ,videoconferencia
 puls compart ahor pagin document dispon ser compart  no seleccion no muestr pantall particip  ,videoconferencia
 seleccion pagin  muestr pantall rest particip control part inferior  permit avanz pagins siguient  ,videoconferencia
 archiv sol dispon profesor moment compart  ,videoconferencia
 asistent list asistent convert present ,videoconferencia
 apart pued ver list particip organiz rol muestr imag siguient  ,videoconferencia
 cad asistent sal pued ver si microfon activ  nombr  calid señal  control asistent   ,videoconferencia
 siguient imag muestr opcion inclu control asistent  ,videoconferencia
 control moder permit accion envi mensaj chat direct convert present silenci elimin sesion silenci usuari no elimin permis volv activ microfon trat herramient silenci microfon produc retorn evit rol particip pued activ microfon ver apart  ajust sesion   ,videoconferencia
 siguient imag muestr com asign rol present usuari rol particip ,videoconferencia
 chat ,videoconferencia
 pestañ chat permit manten canal comun agil resolv dud solucion problem asistent problem conexion muestr imag chat rol moder general  ,videoconferencia
 dinamiz interaccion sal control audi vide turn palabr ,videoconferencia
 control cuent  element ajust compart audi  compart vide levant man  ,videoconferencia
 ajust ,videoconferencia
 puls control ajust  desplieg panel permit interactu loas asistent traves emoticon  ,videoconferencia
 maner pued realiz sonde rap obten retroaliment form agil emoticon muestr list asistent  segund   ,videoconferencia
 control audi vide ,videoconferencia
 control permit activ desactiv audi vide reunion  ,videoconferencia
 recomiend ,videoconferencia
 desactiv audi no habl reduc posibil retorn provoc desagrad ruid fond  ,videoconferencia
 desactiv vide si compart conten ocup mayor part pantall siempr apreci problem conect  ,videoconferencia
 levant man ,videoconferencia
 control levant man permit loas asistent pid palabr imag siguient muestr control activ ,videoconferencia
 numer situ lad icon usuari permit identific orden ped palabr  ademas ventan emergent permit moder baj man peticion turn palabr  ,videoconferencia
 grabacion ,videoconferencia
 inici grabacion puls inici grabacion  panel lateral izquierd unic usuari rol moder pued acced opcion  ,videoconferencia
 inici grabacion asistent pued ver señal indic  ademas mensaj emergent anunci comenz sesion   ,videoconferencia
 deten grabacion puls deten grabacion  ,videoconferencia
 grabacion curs egel  egelpi muestr pagin activ  ,videoconferencia
 cas grabacion realiz sal cre   grabacion pued encontr column despleg izquierd  apart grabacion  puls nombr grabacion  aparec opcion mir ahor abrir reproduccion vide nuev pestañ naveg  ,videoconferencia
 protocol manten elimin grabacion ,videoconferencia
 reduc cost econom asoci manten grabacion establec protocol elimin automat  dias realiz protocol aplic tod plataform egel egelpi asi grabacion no vincul aul virtual  ,videoconferencia
 tod grabacion pued descarg period si quier prolong acces grabacion alla period  dias propon dos opcion siguient  ,videoconferencia
 repositori vide ehutb ,videoconferencia
 servici ehutb  permit public vide restriccion vision colect departament profesor univers internet contraseñ  ,videoconferencia
 pod sub conten multimedi servici ehutb primer necesari usuari dad alta servici ehutb solicitud dars alta servici ehutb hac traves cau  cauehueus  inform contact pagin   ,videoconferencia
 formulari public vide  pestañ metadat  pued seleccion colect acces mism si quier realiz insercion vide egel necesari marc opcion internet  ,videoconferencia
 ademas vez public vide pued establec contraseñ acced pestañ gestor conten seleccion vide establec contraseñ descend part inferior pagin acced tabl muestr imag  ,videoconferencia
 pestañ public  pued modific perfil difusion  establec contraseñ  pued public curs egel egelpi junt enlac vide no pued hac insercion curss contraseñ acces  ,videoconferencia
 inform manual ehutb  ,videoconferencia
 almacen nub ehubox ,videoconferencia
 tod cuent ldap colect pdi pas espaci gb almacen nub despues sub archiv vide directori pod usar icon compart  aparec siguient imag despleg panel opcion  pued cre enlac compart puls sign  destac roj   ,videoconferencia
 vez cre enlac aparec icon permit copi portapapel enlac pued public curs llev pagin extern podr ver descarg muestr imag  ,videoconferencia
 inform  ,videoconferencia
  ,videoconferencia
 cuestionari egel diseñ gestion cas uso ,cuestionarios
 banc pregunt cuestionari curs ,cuestionarios
 organiz pregunt banc pregunt ,cuestionarios
 cre categor ,cuestionarios
 aplic categor subcategor ,cuestionarios
 cre pregunt ,cuestionarios
 aspect general creacion pregunt ,cuestionarios
 uso editor redaccion pregunt respuest ,cuestionarios
 baraj respuest numer opcion ,cuestionarios
 camp retroliment general combin especif  ,cuestionarios
 multipl intent penaliz cad intent incorrect ,cuestionarios
 frecuent verdaderofals opcion multipl respuest cort numer ,cuestionarios
 opcion multipl ,cuestionarios
 pregunt verdader  fals ,cuestionarios
 pregunt numer ,cuestionarios
 respuest cort ,cuestionarios
 famili calcul ,cuestionarios
 calcul ,cuestionarios
 calcul simpl ,cuestionarios
 calcul opcion multipl ,cuestionarios
 pregunt present visual emparej arrastr solt cloze… ,cuestionarios
 pregunt ensay ,cuestionarios
 elabor cuestionari  organiz herramient ,cuestionarios
 elabor cuestionari  configur funcion edit ajust  ,cuestionarios
 temporaliz ,cuestionarios
 calif ,cuestionarios
 esquem ,cuestionarios
 comport pregunt ,cuestionarios
 opcion revision ,cuestionarios
 aparient ,cuestionarios
 restriccion extra intent ,cuestionarios
 retroaliment global ,cuestionarios
 finaliz activ ,cuestionarios
 elabor cuestionari  excepcion usuari grup ,cuestionarios
 elabor cuestionari  añad pregunt edit cuestionari ,cuestionarios
 seleccion pregunt pagin mostr pregunt azar ,cuestionarios
 añad pregunt aleatori ,cuestionarios
 previsualiz cuestionari ,cuestionarios
 ejempl configur exam ,cuestionarios
 opcion import edit ajust ,cuestionarios
 finaliz configur edit cuestionari ,cuestionarios
 consult result retroaliment ,cuestionarios
 recalific ,cuestionarios
 reutiliz cuestionari pregunt ,cuestionarios
 duplic cuestionari dentr curs ,cuestionarios
 import cuestionari curs ,cuestionarios
 import  export pregunt banc pregunt ,cuestionarios
 banc pregunt cuestionari curs ,cuestionarios
 dentr curs exist dos instrument combin realiz cuestionari  banc pregunt permit creacion organiz distint tip pregunt  modul activ cuestionari permit cre distint cuestionari dentr curs aliment pregunt banc pregunt  ,cuestionarios
 relacion banc pregunt cuestionari curs pued ser confus formulari edicion cad cuestionari permit cre pregunt  qued segund plan hech pregunt guard banc pregunt razon recomiend crelas banc pregunt facil manten buen organiz  ,cuestionarios
 siguient list expon fas cicl complet creacion gestion cuestionari egel relacion apart manual ,cuestionarios
 primer fas abord creacion categor subcategor banc pregunt correct organiz bat pregunt apart   ,cuestionarios
 siguient fas correspond creacion pregunt elig distint tip pregunt correspondient opcion configur opcion configur comun casi tip pregunt orden respuest retroaliment general pist penaliz intent apart   ,cuestionarios
 continu comenz trabaj herramient elabor cuestionari ver esquem apart  prim lug deb establec configur conform tip aplic cuestionari formulari edit ajust cuestionari ofrec ampli repertori opcion permit ajust opcion tan divers ejercici repas autoevalu sin ningun pes calif prueb evalu pes decis not final asignatur apart  si necesari podr establec excepcion usuari grup ver apart  ,cuestionarios
 cuart fas insert pregunt establec pagin fas pued baraj orden pregunt insert pregunt aleatori finaliz fas podr realiz previsualiz cuestionari comprob desarroll esper apart  ,cuestionarios
 cuestionari list ser realiz alumn posterior podr analiz result exist opcion cas realiz recalif despues correg error diseñ cuestionari ejempl modific puntuacion respuest pregunt apart fas elabor  ,cuestionarios
 fas final correspond reutiliz pregunt cuestionari dentr mism aul dos auls mism curs academ dos curss academs apart fas elabor   ,cuestionarios
 organiz pregunt banc pregunt ,cuestionarios
 banc pregunt herramient va permit organiz gestion incorpor pregunt cuestionari curs banc pregunt vam pod cre edit pregunt organizlas categor import export ,cuestionarios
 acced banc pregunt abrim panel gestion curs puls banc pregunt  dentr bloqu banc pregunt  ,cuestionarios
 puls banc pregunt panel gestion curs acced pestañ pregunt   ,cuestionarios
 menu despleg  permit seleccion categor cuy conten va despleg ,cuestionarios
 continu encuentr seri filtr busqued  aunqu exist filtr etiquet  todav no activ opcion etiquet pregunt pued utiliz rest filtr dispon   ,cuestionarios
 cre nuev pregunt  dentr categor ,cuestionarios
 part inferior aparec list pregunt conten categor  icon destac roj  identif tip pregunt formulari situ part inferior  permit mov pregunt categor ,cuestionarios
 cre categor ,cuestionarios
 categor conjunt pregunt vez pued conten subcategors instrument organiz clasific multipl pregunt inclu van ser inclu curs  ,cuestionarios
 añad categor puls pestañ categor  rellen formulari  ,cuestionarios
 eleg categor padr menu despleg  numer  destac roj imag  indic categor contien  pregunt  ,cuestionarios
 camp text nombr  inclu nombr categor  ,cuestionarios
 guard cambi  ,cuestionarios
 imag siguient vem vist pestañ pregunt cre vari categor pod usar flech destac roj cambi orden sub baj nivel jerarqu si borr categor pregunt pregunt si quer traslad pregunt categor superior ,cuestionarios
 destac moodl cad cuestionari dispon categor propi pregunt no visualiz ventan categors curs ello aconsej cre categor quer utiliz añad pregunt categor existent evit problem no encontr pregunt no asoci categor sin cuestionari ocurr ocasion proces migracion conten curs academ siguient pregunt asoci cuestionari no aparec banc pregunt traspas dich cuestionari pod recuper deb entrar curs orig proced export pregunt import curs destin explic adel ,cuestionarios
 aplic categor subcategor ,cuestionarios
 utiliz categor subcategor organiz curs ventaj import prim lug explic permit agrup pregunt van asign posterior cuestionari destac ademas dos aspect ,cuestionarios
 si quer utiliz pregunt aleatori ver apart  escog numer determin pregunt dentr categor subcategor mod ten buen organiz pregunt permit discrimin pregunt form adecu  ,cuestionarios
 mism mod si quer export conjunt pregunt proces sencill si bien organiz  ,cuestionarios
 cre pregunt ,cuestionarios
 cre pregunt puls cre pregunt nuev pestañ pregunt banc pregunt ver imag apart  organiz pregunt banc pregunt  ,cuestionarios
 part izquierd siguient imag muestr cuadr dialog eleg tip pregunt present  list pregunts  are muestrn descripcion tips seleccion  boton agreg  ,cuestionarios
 ademas part derech muestr distint tip pregunt agrup famili ,cuestionarios
 frecuent verdaderofals opcion multipl respuest cort numer ,cuestionarios
 famili calcul pregunt valor numer enunci var form aleatori form cad estudi busc propi solucion problem  ,cuestionarios
 pregunt present visual emparej arrastr solt cloz ,cuestionarios
 pregunt tip ensay permit realiz pregunt abiert dentr cuestionari  ,cuestionarios
 pregunt tip descripcion permit insert fragment conten pregunt cuestionari ,cuestionarios
 cad tip pregunt caracterist funcion especif van trat apart posterior sin embarg comenz descripcion sistemat siguient apart vam trat caracterist comun casi tip pregunt ,cuestionarios
 aspect general creacion pregunt ,cuestionarios
 formulari creacion pregunt element comun pued enriquec present experient alumn uso editor dar format text camp retroaliment uso unidad equivalent unidad penaliz pist ,cuestionarios
 uso editor redaccion pregunt respuest ,cuestionarios
 tod opcion editor grafic dispon redaccion enunci pregunt proced respuest ejempl utiliz imagen pued aport precision pregunt inclus ser imprescind exposicion pregunt  ,cuestionarios
 imag pued utiliz camp respuest muestr siguient imag ,cuestionarios
 sin embarg usan imagen intent usar imagen adecu dimension ventan van mostr modific tamañ usand opcion cuadr dialog public imagen pestañ aparient  ,cuestionarios
 ademas editor cuent editor formul integr wiris notacion tex imag siguient muestr opcion editor formul integr wiris  ,cuestionarios
 inform insercion imagen formul editor consult apart insercion  edicion imagen manual gestion recurs egel ,cuestionarios
 baraj respuest numer opcion ,cuestionarios
 opcion baraj baraj respuest  aparec tod tip pregunt present vari opcion respuest siguient imag muestr captur formulari tip pregunt opcion multipl frecuent caracterist  ,cuestionarios
 opcion baraj respuest  aparec marc defect comport no produc si opcion no marc apart formulari edit ajust  comport pregunt cuestionari trat pod bloqu comport pregunt perd sent ejempl pregunt ultim respuest tod respuest anterior incorrect  ,cuestionarios
 ademas asoci opcion opcion numer eleccion  aunqu tradicional cuestionari realiz papel utiliz numer letr etiquet respuest cuestionari realiz onlin pued optar realiz sin numer  ,cuestionarios
 camp retroliment general combin especif ,cuestionarios
 camp pued ser utiliz reforz dialog estudi intent resolv pregunt element retroaliment muestr cuestionari mod adapt interact multipl intent ver apart  comport pregunts visualiz depend configur apart  opcion revision ,cuestionarios
 dentr formulari creacion pregunt encuentr siguient opcion  ,cuestionarios
 retroaliment respuest denomin retroaliment especif apart opcion revision  ,cuestionarios
 retroaliment general ,cuestionarios
 retroaliment combin vari respuest correct  ,cuestionarios
 imag siguient vem mensaj retroaliment respuest parcial incorrect retroaliment respuests  retroaliment combin  primer pist  ver apart  multipl intent penaliz cad intent incorrect  ,cuestionarios
 siguient imag muestr retroaliment respuest total correct retroaliment respuest  retroaliment combin  retroaliment general  respuest correct  ,cuestionarios
 mism retroaliment aparec despues realiz intent envi respuest pagin revision  ,cuestionarios
 multipl intent penaliz cad intent incorrect ,cuestionarios
 penaliz intent funcion escog edit ajust  comport pregunt mod adapt interact vari intent ver apart  valor introduc penaliz cad intent incorrect  defin penaliz aplicad cad intent incorrect penaliz proporcional calif total pregunt  ,cuestionarios
 ademas unic cuestionari mod interact vari intent muestr pist retroaliment numer intent qued defin cad pregunt numer pist correspondient  ,cuestionarios
 frecuent verdaderofals opcion multipl respuest cort numer ,cuestionarios
 opcion multipl ,cuestionarios
 formulari creacion pregunt opcion multipl aparec prim lug menu despleg seleccion categor  camp escrib nombr pregunt  import escrib nombr identific pod encontr pregunt list banc pregunt   ,cuestionarios
 continu aparec camp enunci pregunt  puntuacion defect  ultim camp permit especific puntuacion maxim obtendr respuest sin ningun penaliz  ,cuestionarios
 continu menu vari respuest  cuy opcion despleg cuadr destac   ,cuestionarios
 imag siguient muestr apart respuest camp text cad opcion respuest eleccion calif cad opcion total respuest correct deb sum    ,cuestionarios
 si escog opcion permit vari respuest menu vari respuest respuest incorrect deb ten puntuacion negat  contrari pued marc tod respuest obten puntuacion maxim pregunt  ,cuestionarios
 pregunt verdader  fals ,cuestionarios
 primer camp formulari habitual rest tip pregunt  continu camp respuest correct  indic si enunci verdader fals   ,cuestionarios
 camp penaliz cad intent sol aplic mod adapt valor siempr   ,cuestionarios
 contest pregunt tip verdader  fals cuestionari unic intent no posibl volv dej sin respuest pregunt sol cambi opcion respuest evit situacion pued usar defect pregunt opcion multipl inclu dos opcion respuest opcion correct incorrect tercer opcion text nsnc puntuacion neutr  ,cuestionarios
 pregunt numer ,cuestionarios
 pregunt numer present mism camp pregunt apart general  ,cuestionarios
 apart respuest   ejempl muestr imag manten mism valor camp respuest   vari marg error   calif asoci     ,cuestionarios
 tratamient unidad ,cuestionarios
 pregunt numer asi tip pregunt respuest format numer calcul calcul simpl calcul opcion multipl permit especific unidad deb utiliz respuest establec equivalent mism  ,cuestionarios
 prim lug menu tratamient unidad  especif si uso unidad opcional u obligatori ver opcion despleg recuadr  ademas menu unidad introduc emple  eleg metod mostr formulari respuest  mism camp seleccion opcion multipl ventan emergent  ,cuestionarios
 apart unid pued especific cad unid  abreviatur  multipl correspondient  ,cuestionarios
 siguient imag muestr present pregunt ,cuestionarios
 respuest cort ,cuestionarios
 imag siguient muestr camp apart general  part inferior encuentr menu indic si cuent mayuscul minuscul respuest  ,cuestionarios
 indic text roj imag siguient pued usar caract  comodin ejempl respuest   inclu  asterisc prevision pued introduc mar caspi lug caspi respuest  text caspi  calif baj   ,cuestionarios
 siguient imag muestr previsualiz pregunt respuest mar caspi  acept correct aunqu retroaliment indic respuest correct caspi   ,cuestionarios
 famili calcul ,cuestionarios
 calcul ,cuestionarios
 pregunt calcul permit cre pregunt numer mediant uso comodin wildcards ejempl x  sustitu valor aleatori pregunt ,cuestionarios
 edicion pregunt realiz tres pagin suces primer pagin inclu apart general respuest tratamient unidad unidad multipl intent  ,cuestionarios
 apart general muestr selector categor pregunt ademas element comodin compart indic no comodin compart categor  cas exist pregunts comodin mism categor mostr apart  ,cuestionarios
 apart enunci pregunt destac comodin pregunt delimit  ,cuestionarios
 apart respuest apart formul respuest   inclu formul  calif respuest  formul calcul toler  part inferior boton cre opcion respuest   ,cuestionarios
 consult opcion apart tratamient unidad unidad  ver apart  pas siguient pagin configur puls guard cambi   ,cuestionarios
 comodin cre enunci pregunt pagin anterior pued ser priv usad unic pregunt compart acces tod pregunts mism categor   ,cuestionarios
