Class,SubClass,titulo,Page
bideokonferentzia,1,Bileretarako gune birtual bat sortu eGela / eGelaPIn,https://www.ehu.eus/eu/web/ecampus/blackboard-collaborate-ultra/creacion-sala-egela-egelapi
bideokonferentzia,2,eGela / eGelaPItik kanpo bilera gunea sortu,https://www.ehu.eus/eu/web/ecampus/blackboard-collaborate-ultra/creacion-sala-no-vinculada-egela-egelapi
bideokonferentzia,3,Blackboard Collaborate Ultra bilera gunera sarbidea,https://www.ehu.eus/eu/web/ecampus/blackboard-collaborate-ultra/entrada-sala-virtual
bideokonferentzia,4,Bilera guneko rolak,https://www.ehu.eus/eu/web/ecampus/blackboard-collaborate-ultra/roleu
bideokonferentzia,5,Saioak moderatzea eta edukiak aurkeztea,https://www.ehu.eus/eu/web/ecampus/blackboard-collaborate-ultra/funcionalidadeu
bideokonferentzia,6,"Saioaren interakzioak dinamizatzea. Egoerak, audio- eta bideo-kontrola eta hitz-txandak",https://www.ehu.eus/eu/web/ecampus/blackboard-collaborate-ultra/dinamizacion
bideokonferentzia,7,Grabaketak,https://www.ehu.eus/eu/web/ecampus/blackboard-collaborate-ultra/grabacioneu
galdetegiak,1,Galdera-bankua eta galdetegiak ikastaroan,https://www.ehu.eus/eu/web/ecampus/cueutionarios-egela/banco-preguntas-y-cueutionarios
galdetegiak,2,“Galdera-bankuan” galderak antolatu,https://www.ehu.eus/eu/web/ecampus/cueutionarios-egela/organizar-preguntas
galdetegiak,3,Galdera mota ezberdinak sortu,https://www.ehu.eus/eu/web/ecampus/cueutionarios-egela/crear-preguntas
galdetegiak,4,Galdetegien elaborazioa. Tresnen antolakuntza,https://www.ehu.eus/eu/web/ecampus/cueutionarios-egela/organizacion-herramientas
galdetegiak,5,Galdetegien elaborazioa. “Editatu ezarpenak” formularioan funtzionamendua konfiguratu,https://www.ehu.eus/eu/web/ecampus/cueutionarios-egela/configurar-funcionamiento
galdetegiak,6,Galdetegien elaborazioa. Talde edo erabiltzaile-salbuespenak,https://www.ehu.eus/eu/web/ecampus/cueutionarios-egela/excepcioneu
galdetegiak,7,Galdetegien elaborazioa. Galderak gehitu,https://www.ehu.eus/eu/web/ecampus/cueutionarios-egela/anadir-preguntas
galdetegiak,8,Azterketa baten konfigurazio adibidea,https://www.ehu.eus/eu/web/ecampus/cueutionarios-egela/configuracion-examen
