Text,Class
Creación de una sala virtual conectada a eGela / eGelaPI,1
"En el caso de no contar con un aula virtual, puede solicitarla en la plataforma que corresponda:",1
"eGela: El profesorado con carga docente asignada en GAUR en las asignaturas de grado, másteres oficiales, títulos propios y aulas de doctorado puede solicitar el aula virtual correspondiente en la plataforma eGela. Dicha solicitud se realizará a través del Gestor de Aulas Virtuales. Este gestor permite al profesorado dar de alta sus aulas virtuales eGela y otras operaciones relacionadas con la gestión de las mismas, como fusionar grupos, consultar su almacén de copias de seguridad de cursos pasados... También se ubican en eGela las Aulas Virtuales Transversales, que pueden definirse a nivel de curso, grado, máster y título propio.",1
"eGelaPI: Puede solicitar un aula virtual en eGela PI cualquier miembro de la UPV/EHU, PDI o PAS, que justifique esta necesidad y cuente con el respaldo del órgano o unidad administrativa que proceda, siempre que quede fuera de las categorías de cursos especificadas para eGela en el punto anterior. El procedimiento para la solicitud de cursos en eGelaPI se realiza en Área personal > Mis solicitudes de cursos. Más información en este enlace.",1
Configuración de la sala en eGela / eGela PI,1
"Para crear una sala de Blackboard Collaborate Ultra en un aula virtual de eGela / eGelaPi, 1) active la edición, 2) haga clic sobre “Añade una actividad o un recurso” en la sección correspondiente y 3) seleccione la actividad “Collaborate”. ",1
General,1
En el siguiente formulario se configuran las opciones del apartado General. ,1
Los dos primeros campos se corresponden con: ,1
"El “Nombre de sesión”, que se muestra en la página principal del curso y, como título, en la página de la actividad.",1
"La “Descripción”, que se muestra en la página de la actividad y, opcionalmente, en la página principal del curso (ver casilla 2.1). ",1
La fecha y hora de “Inicio”. La sala estará disponible 15 minutos antes de la hora indicada. ,1
"La “Duración” de la sesión. Si se elige la opción “Duración del curso”, la sala estará siempre disponible a partir de la fecha de inicio escogida. ",1
Otras configuraciones,1
En la imagen a continuación se muestran el resto del formulario de configuración.,1
"Aunque la calificación pueda activarse, esta debería realizarse en el propio “Libro de calificaciones” Enlace al manual.",1
"Dentro del apartado “Ajustes comunes del módulo”, puede activarse el modo de grupos “Separados” o “Visibles. Ambas configuraciones tendrán el mismo efecto, cada estudiante accederá a una sala correspondiente a su grupo. Se recomienda, sin embargo, utilizar las opciones de “Grupos de trabajo” propias de Blackboard Collaborate Ultra. ",1
"NOTA: Si la configuración de grupos se ha hecho a nivel de curso, de podrá cambiar a nivel de actividad, salvo que se haya forzado (Ver más información en el manual). En ese caso, si se quiere hacer una reunión con todo el alumnado del aula virtual, se puede recurrir a una reunión NO vinculada a eGela /eGela PI (Ver apartado 2: Creación de una sala virtual NO vinculada a eGela /eGelaPI)",1
"Las salas de reuniones pueden tener restricciones de acceso, como cualquier otra actividad.",1
"Si se han activado las opciones de “Rastreo de finalización” en el panel de Gestión del curso > Configuración del curso > Editar la configuración del curso, podrán marcarse los eventos “recibir una calificación” o “unirse a la sesión” para completar la condición de finalización.  ",1
Acceso a la sala desde eGela / eGela PI,1
"Una vez terminada la configuración, se crea la página de la entrada en la sesión. Pulsar el botón “Unirse a la sesión” para entrar en la sala. Si no aparece este botón, revise los valores introducidos en los campos “Inicio” y Duración” de la configuración. ",1
Creación de una sala virtual NO vinculada a eGela /eGelaPI,2
Este servicio está disponible en la dirección https://ehu.eus/bilerak.,2
"Después de introducir las credenciales LDAP, se presenta una página con el listado de salas y el botón “Crear sesión” (1). Deben introducirse el nombre de sesión, la fecha y los ajustes de sesión. ",2
Estos son los ajustes de sesión recomendados para una sala con asistencia numerosa (más de 10 participantes). Para dar voz a participantes concretos se les podrá otorgar puntualmente otro rol. (Ver apartado 5.2.3 Asistentes),2
