idForum,idDiscussion,subject,message,parent
5721,23896,las plazas para el curso de Cuestionarios rapidamente se han agotado,las plaza curs cuestionarios rapid ago podeis amplia favor vist va cos va ser much until asi necesarios,0
5721,23897,las plazas para el curso de Cuestionarios rapidamente se han agotado,las plaza curs cuestionarios rapid ago podeis amplia favor vist va cos va ser much until asi necesarios,0
5721,23935,Cómo eliminar un matriculado manual en egela,polar por error matriculo usuari ngel docente confunde corre ahora quier elimino sol consegui cambio edicion rol estudi manual no encuentra manera echar curs ngel no conecta nunc no correspond curs no se com elimine participantes gracias poihanap,0
5721,23942,Acceso a grabación,p¿se puede accede grabacion sesion online vez matriculo curs no pud accede ningun grup limit plazas,0
5721,23949,Tutorías en Blackboard,psi abril mismo tutor mismo hor dos grup dos ngel ¿pod ten abierto sol ngel abrir dos ngel dos pestaña diferente cad grup accede tutor propi gelp gracias,0
5721,23966,"APUNTADO A CURSO A LAS 4, PERO NO ENCUENTRO FORMA DE ACCESO",pac par dias apunta curs impact hoy mart  cuestionar no encuentra form pod accede mismo,0
5721,23977,Tipo de pregunta: Elige la palabra perdida,papel utiliza cuestionar habitual alumno incl tip pregunta arriba indic no consigo sab com funcionan pme podr indic pon algun ejemplo,0
5721,24014,GISMO,papa peel gis aplikazio txertatz saint naiz noizbait best mood bat emaili buen eta bain ez dut portu ukasz arder existen lortzek best mourir badge baliabideak erabiltz ari dir aztertzek edo galdetegiak edit ari dir bideoak ikustenp p p peskerrikaskop p p pmaialenp,0
5721,24033,eGela taldeak eta taldetan ez dauden ikasleak,pkaixop peel verein bat talk entregtzek parte about bain talet ez dad ikaslak balvin badius eta talk ez dad ukasz horietak bate entre edit bad talet ez dad ukasz guztia just date pol keirin date hora talk ez dad ukasz bakoitz tal bat tartu beh dut ez fait zentzuzko erudito arrazoizkoago mat du pentsatze ez eadafd talet sarten bakoitz tal bat del automatikoki esta pbestald egin eta ger ba dag hora konpontzek modurikp pen buen erantzunar main eskerrik asp edurne,0
5721,24122,Bideoa ikusi powerpointean/Ver video en ppt,pen castellano debajo pkaixop posible da collaborate biden powerpoint bat partekatze ikasleekin eta hace video ilustre eta entzuteap p p pes posible comparte alumno vide incrusta present powerpoint y vean escucha video,0
5721,24164,Aforo alcanzado,buen tardes las dos sesion castellano curs evaluo ciencia complet factible abrir algun sesion gracias,0
5721,24251,MATRICULAR USUARIO EN AULA VIRTUAL,buen tardes p¿com puede modifico rol usuari matriculo manual curs ngel quier asign rol estudi figura rol p por pregunta ¿es posible despues desmatricularlep gracia colaboracion,0
5721,24270,Taldekatzeak egelan,punibertsitateak zehazt situ ga eta ga taldea automatikoki taldekatzek aukerarik bada egelanp,0
